,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData mean SpaceGroupNumber,MagpieData minimum Number,MagpieData mean Number,MagpieData maximum Number,MagpieData minimum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData maximum MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData maximum Column,MagpieData minimum Row,MagpieData mean Row,MagpieData maximum Row,MagpieData minimum CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData maximum Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData maximum NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData maximum NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData maximum NfValence,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData maximum GSvolume_pa,PymatgenData minimum block,PymatgenData mean block,PymatgenData maximum block,PymatgenData minimum atomic_mass,PymatgenData mean atomic_mass,PymatgenData maximum atomic_mass,PymatgenData minimum atomic_radius,PymatgenData mean atomic_radius,PymatgenData maximum atomic_radius,cohesive energy (MP)
78,5.546750589,24.49052362,0.65692481,717.87,1750.801429,3743,10.27,17.37428571,38.16,5.211664,8.288674143,10.36001,2.999481,0.752248914,156.9285714,16,35.71428571,57,9,63.14285714,88,388.36,835.5578571,1234.93,2,11.28571429,16,3,4.357142857,6,105,142.2857143,215,0.89,2.000714286,2.58,1,1.642857143,2,0,1.714285714,4,0,3.642857143,10,0,0,0,16.33,28.60348214,63.59,1,2.285714286,3,32.065,81.80646214,138.90547,1,1.446428571,2.15,4.198744167
79,4.771209333,24.75866724,0.703132035,717.87,1628.79,2435,10.27,17.96833333,45.94,4.3406633,7.96489555,10.36001,3.115045941,0.832747493,174,16,32,47,3,62.33333333,88,336.53,803.0066667,1234.93,1,11,16,3,4.166666667,5,105,141.3333333,203,0.82,1.961666667,2.58,1,1.333333333,2,0,1.333333333,4,0,5,10,0,0,0,16.33,28.94506944,73.10666667,1,2.333333333,3,32.065,71.13881667,107.8682,1,1.5,2.2,3.08331334
80,5.462907493,22.58845951,0.499634984,717.87,1883.515714,5017,10.27,12.56428571,15.53,6.75885,8.710894286,10.36001,2.919216972,0.724554693,158.8571429,16,33.28571429,47,47,73.57142857,88,388.36,980.3335714,2750,5,12.71428571,16,3,4.142857143,5,105,129.2142857,164,1.6,2.185,2.58,1,1.428571429,2,0,1.714285714,4,0,5.285714286,10,0,0,0,16.33,20.51508929,25.786875,2,2.571428571,3,32.065,74.31241286,107.8682,1,1.332142857,1.6,3.648620522
81,6.001920491,22.3364461,0.713399632,717.87,1739.79,2435,10.27,15.81416667,55.76,4.177128,8.220898167,10.36001,3.005303031,0.837366305,173.6666667,16,35.83333333,47,4,67.58333333,88,312.46,875.8675,1234.93,1,11.83333333,16,3,4.333333333,5,105,137.9166667,220,0.82,2.054166667,2.58,1,1.333333333,2,0,1.333333333,4,0,5.833333333,10,0,0,0,16.33,25.68166667,90.7225,1,2.5,3,32.065,80.73376667,107.8682,1,1.4625,2.35,3.039286348
82,6.670740648,24.1529848,0.519610274,958,1873.533333,2875,10.27,13.13133333,16.42,7.34392,8.431206667,9.75239,2.964023994,0.693441369,135,34,42,50,65,75.6,89,494,889.9013333,1234.93,11,13.2,16,4,4.6,5,120,134.6,145,1.93,2.18,2.55,1,1.466666667,2,0,1.733333333,4,10,10,10,0,0,0,16.33,21.29633333,33.285,2,2.533333333,3,78.96,97.02770667,118.71,1.15,1.41,1.6,2.783106829
83,4.791076153,25.36776566,0.37527712,958,1785.75,2792,10,13.2775,16.42,5.985768,8.2666945,9.75239,2.758026694,0.577441962,119.5,13,32,47,65,79,89,494,789.1,1234.93,11,14,16,3,4,5,120,126.5,145,1.61,2.16,2.55,1,1.75,2,0,2.25,4,0,7.5,10,0,0,0,16.33,21.1625,25.92,2,2.25,3,26.9815386,73.19243465,107.8682,1.15,1.2875,1.6,3.487915503
84,4.917995434,31.70021993,0.371100122,332,1383.5,2435,10.27,15.025,19.78,7.57623,9.695015,11.8138,2.946570188,0.615479709,144.5,35,41,47,65,80,95,265.8,750.365,1234.93,11,14,17,4,4.5,5,120,132.5,145,1.93,2.445,2.96,1,1.5,2,0,2.5,5,10,10,10,0,0,0,16.33,22.905,29.48,2,2.5,3,79.904,93.8861,107.8682,1.15,1.375,1.6,2.321949595
85,5.356180845,22.21643168,0.480411868,239.11,1337.055,2435,10.27,13.83,17.39,7.57623,10.27193,12.96763,2.811198,1.570796327,144.5,17,32,47,65,79.5,94,171.6,703.265,1234.93,11,14,17,3,4,5,102,123.5,145,1.93,2.545,3.16,1,1.5,2,0,2.5,5,0,5,10,0,0,0,16.33,20.41375,24.4975,2,2.5,3,35.453,71.6606,107.8682,1,1.3,1.6,2.46852303
86,5.642235632,16.76385742,0.552213379,717.87,1751.185,3134,7.09,12.105,15.53,7.57623,9.0496625,10.36001,2.615298262,0.850448689,148.5,16,26.25,47,55,74,88,388.36,955.6625,1811,8,12.75,16,3,3.75,5,105,121.75,145,1.83,2.23,2.58,1,1.75,2,0,2,4,0,4,10,0,0,0,10.73,19.6584375,25.786875,2,2.5,3,32.065,56.9608,107.8682,1,1.25,1.6,4.040434508
87,4.517958693,22.21066653,0.391001741,717.87,1586.935,2477,10.27,13.2825,15.53,5.999301,8.57388775,10.36001,2.63992982,0.577407718,107.25,16,27.5,47,65,78.75,88,302.91,578.64,1234.93,11,14,16,3,3.75,5,105,119.25,145,1.81,2.225,2.58,1,1.75,2,0,2.25,4,0,5,10,0,0,0,16.33,21.6903125,25.786875,2,2.25,3,32.065,60.4303,107.8682,1,1.225,1.6,3.761494518
