formula,sg,kL,bulkmod,composition,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData mean Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData mean NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,PymatgenData minimum block,PymatgenData maximum block,PymatgenData mean block,PymatgenData minimum atomic_mass,PymatgenData maximum atomic_mass,PymatgenData mean atomic_mass,PymatgenData minimum atomic_radius,PymatgenData maximum atomic_radius,PymatgenData mean atomic_radius,cohesive energy (MP)
Ag1Al1S2,122,8.41,58.3,Ag1 Al1 S2,3.80189301,21.72691529,0.387953093,717.87,1665.685,2792,10,12.8325,15.53,5.985768,8.5705045,10.36001,2.625208307,0.598538894,13,47,23,65,88,78.5,388.36,1234.93,736.28,11,16,14,3,5,3.5,105,145,119,1.61,2.58,2.175,1,2,1.75,0,4,2.25,0,10,2.5,0,0,0,16.33,25.786875,21.0959375,2,3,2.25,26.9815386,107.8682,49.74493465,1,1.6,1.2125,4.217696011
Ag1Al1Te2,122,3.6,39.6,Ag1 Al1 Te2,5.137259666,31.5193737,0.383308665,1261,1937.25,2792,10,15.2975,20.46,5.985768,7.8952995,9.0096,2.948944472,0.572436147,13,52,41,65,90,79.5,722.66,1234.93,903.43,11,16,14,3,5,4.5,121,145,135.5,1.61,2.1,1.935,1,2,1.75,0,4,2.25,0,10,7.5,0,0,0,16.33,34.76333333,25.58416667,2,3,2.25,26.9815386,127.6,97.51243465,1.25,1.6,1.4125,3.10897583
Ag1Ba1La1Se3,63,1.51,35.9,Ag1 Ba1 La1 Se3,5.768634842,29.79222093,0.609545511,958,1865.833333,3743,10.27,20.01333333,38.16,5.211664,7.936994,9.75239,3.28143331,0.80036569,34,57,43.66666667,9,89,59,494,1234.93,818.3216667,2,16,10.66666667,4,6,4.833333333,120,215,154.5,0.89,2.55,1.928333333,1,2,1.833333333,0,4,2,0,10,6.833333333,0,0,0,16.33,63.59,32.42958333,1,3,2.166666667,78.96,138.90547,103.4967783,1.15,2.15,1.525,4.411821073
Ag1Ba1Se3Y1,63,1.91,40.6,Ag1 Ba1 Se3 Y1,5.691307053,27.76562955,0.614236363,958,1843.5,3609,10.27,19.595,38.16,5.211664,8.043727333,9.75239,3.21798513,0.823063917,34,56,40.66666667,9,89,58.83333333,494,1799,919.3216667,2,16,10.66666667,4,6,4.666666667,120,215,151.6666667,0.89,2.55,1.948333333,1,2,1.833333333,0,4,2,0,10,6.833333333,0,0,0,16.33,63.59,31.67416667,1,3,2.166666667,78.96,137.327,95.16350833,1.15,2.15,1.5,4.354401453
Ag1Ba1Te3Y1,63,1.48,36.1,Ag1 Ba1 Te3 Y1,5.987250761,33.13825349,0.591955347,1261,1995,3609,10.27,21.615,38.16,5.211664,7.672332333,9.0096,3.420556269,0.825829389,39,56,49.66666667,9,90,59.33333333,722.66,1799,1033.651667,2,16,10.66666667,5,6,5.166666667,138,215,160.6666667,0.89,2.1,1.723333333,1,2,1.833333333,0,4,2,0,10,6.833333333,0,0,0,16.33,63.59,36.09583333,1,3,2.166666667,88.90585,137.327,119.4835083,1.4,2.15,1.625,3.950690185
Ag1Ba2In1S4,14,1.5,34,Ag1 Ba2 In1 S4,4.674343859,27.7801977,0.59741526,717.87,1492.185,2435,10.27,20.55875,38.16,5.211664,8.15324475,10.36001,3.100801736,0.680496534,16,56,34,9,88,63.75,388.36,1234.93,652.265,2,16,11.5,3,6,4.25,105,215,142.125,0.89,2.58,1.97625,1,2,1.875,0,4,2.125,0,10,2.5,0,0,0,16.33,63.59,33.8646875,1,3,1.875,32.065,137.327,78.200025,1,2.15,1.43125,4.307609645
Ag1Cd2Ga1S4,31,4.03,53,Ag1 Cd2 Ga1 S4,4.546701253,24.22645373,0.383425287,717.87,1232.935,2477,10.27,13.77375,15.53,5.999301,9.125401375,10.36001,2.696298134,0.602197022,16,48,29.75,65,88,78.875,302.91,1234.93,534.965,11,16,14,3,5,3.875,105,145,121.875,1.69,2.58,2.18,1,2,1.875,0,4,2.125,0,10,5,0,0,0,16.33,25.786875,22.165625,2,3,2.375,32.065,112.411,66.33415,1,1.6,1.25,3.363755379
Ag1Cr1S2,160,7.26,68,Ag1 Cr1 S2,5.029493242,18.48850709,0.500701669,717.87,1703.685,2944,7.23,12.14,15.53,6.76651,8.76569,10.36001,2.69324072,0.833190674,16,47,25.75,49,88,72.5,388.36,2180,1047.9125,6,16,12.25,3,5,3.75,105,145,123.5,1.66,2.58,2.1875,1,2,1.5,0,4,2,0,10,3.75,0,0,0,11.19,25.786875,19.7734375,2,3,2.5,32.065,107.8682,55.998575,1,1.6,1.25,4.067605403
Ag1Cr1Se2,160,14.44,56,Ag1 Cr1 Se2,6.112507723,21.58251854,0.479468806,958,1823.75,2944,7.23,12.585,16.42,6.76651,8.46188,9.75239,2.826964469,0.840343132,24,47,34.75,49,89,73,494,2180,1100.7325,6,16,12.25,4,5,4.25,120,145,131,1.66,2.55,2.1725,1,2,1.5,0,4,2,5,10,8.75,0,0,0,11.19,25.92,19.84,2,3,2.5,51.9961,107.8682,79.446075,1.15,1.6,1.325,3.361737625
Ag1Cu1S1,26,1.2,17.4,Ag1 Cu1 S1,5.922079691,19.01838422,0.554762683,717.87,2117.623333,3200,7.11,10.97,15.53,7.57623,8.554206667,10.36001,2.712902693,0.850672685,16,47,30.66666667,64,88,72.33333333,388.36,1357.77,993.6866667,11,16,12.66666667,3,5,4,105,145,127.3333333,1.9,2.58,2.136666667,1,2,1.333333333,0,4,1.333333333,0,10,6.666666667,0,0,0,11.07,25.786875,17.72895833,2,3,2.666666667,32.065,107.8682,67.8264,1,1.6,1.316666667,3.405900697
Ag1Fe1S2,122,7.62,53.5,Ag1 Fe1 S2,5.642235632,16.76385742,0.552213379,717.87,1751.185,3134,7.09,12.105,15.53,7.57623,9.0496625,10.36001,2.615298262,0.850448689,16,47,26.25,55,88,74,388.36,1811,955.6625,8,16,12.75,3,5,3.75,105,145,121.75,1.83,2.58,2.23,1,2,1.75,0,4,2,0,10,4,0,0,0,10.73,25.786875,19.6584375,2,3,2.5,32.065,107.8682,56.9608,1,1.6,1.25,4.040434508
Ag1Fe2Ga1Te4,121,3.69,41.5,Ag1 Fe2 Ga1 Te4,5.634391955,29.45974215,0.404468487,1261,2028,3134,7.09,14.76125,20.46,5.999301,8.177341375,9.0096,2.87900778,0.586120263,26,52,42.25,55,90,76.125,302.91,1811,1006.31,8,16,13,4,5,4.625,122,145,135.375,1.81,2.1,1.975,1,2,1.875,0,4,2.125,6,10,9,0,0,0,10.73,34.76333333,24.46260417,2,3,2.375,55.845,127.6,99.96015,1.3,1.6,1.4125,3.153028483
Ag1Fe2S3,64,1.62,24.6,Ag1 Fe2 S3,4.679015935,18.67631041,0.470397478,717.87,1809.435,3134,7.09,11.84,15.53,7.57623,9.076843333,10.36001,2.522726702,0.620212064,16,47,24.5,55,88,73.16666667,388.36,1811,1003.668333,8,16,12.5,3,5,3.666666667,105,145,120.6666667,1.83,2.58,2.221666667,1,2,1.833333333,0,4,2,0,10,3.666666667,0,0,0,10.73,25.786875,19.19177083,2,3,2.5,32.065,107.8682,52.62553333,1,1.6,1.233333333,4.311790923
Ag1Ga1S2,122,6.53,55.9,Ag1 Ga1 S2,4.517958693,22.21066653,0.391001741,717.87,1586.935,2477,10.27,13.2825,15.53,5.999301,8.57388775,10.36001,2.63992982,0.577407718,16,47,27.5,65,88,78.75,302.91,1234.93,578.64,11,16,14,3,5,3.75,105,145,119.25,1.81,2.58,2.225,1,2,1.75,0,4,2.25,0,10,5,0,0,0,16.33,25.786875,21.6903125,2,3,2.25,32.065,107.8682,60.4303,1,1.6,1.225,3.76152852
Ag1Ga1Se2,122,4.16,46.3,Ag1 Ga1 Se2,5.38451554,25.86720434,0.377904284,958,1707,2477,10.27,13.7275,16.42,5.999301,8.27007775,9.75239,2.770143813,0.571155967,31,47,36.5,65,89,79.25,302.91,1234.93,631.46,11,16,14,4,5,4.25,120,145,126.75,1.81,2.55,2.21,1,2,1.75,0,4,2.25,10,10,10,0,0,0,16.33,25.92,21.756875,2,3,2.25,69.723,107.8682,83.8778,1.15,1.6,1.3,3.116091436
Ag1Ga1Te2,122,3.24,39.4,Ag1 Ga1 Te2,5.66102974,31.7374545,0.388721608,1261,1858.5,2477,10.27,15.7475,20.46,5.999301,7.89868275,9.0096,2.952926445,0.573102859,31,52,45.5,65,90,79.75,302.91,1234.93,745.79,11,16,14,4,5,4.75,122,145,135.75,1.81,2.1,1.985,1,2,1.75,0,4,2.25,10,10,10,0,0,0,16.33,34.76333333,26.17854167,2,3,2.25,69.723,127.6,108.1978,1.3,1.6,1.425,2.831347978
Ag1Ge1La3S7,173,2.26,52.4,Ag1 Ge1 La3 S7,4.824773562,23.56640982,0.522771307,717.87,1815.174167,3743,10.27,16.64833333,22.39,5.5769,8.7272025,10.36001,3.027085233,0.768825011,16,57,30.16666667,13,88,66.58333333,388.36,1234.93,728.6541667,3,16,12.16666667,3,6,4,105,207,135.0833333,1.1,2.58,2.108333333,1,2,1.916666667,0,4,2.5,0,10,1.916666667,0,0,0,16.33,36.8975,27.54463542,2,3,2.333333333,32.065,138.90547,68.47330083,1,1.95,1.308333333,5.382705675
Ag1Hf1Rb1Te3,11,0.77,17.3,Ag1 Hf1 Rb1 Te3,6.227956556,33.53389785,0.60436126,961,2009.166667,4876,10.27,23.475,55.76,4.177128,7.601204667,9.0096,3.388798136,0.791868577,37,72,52,4,90,64,312.46,2506,1036.895,1,16,10.66666667,5,6,5.166666667,138,220,159,0.82,2.1,1.725,1,2,1.666666667,0,4,2,0,10,7,0,14,2.333333333,16.33,90.7225,38.92375,1,3,2.166666667,85.4678,178.49,125.771,1.4,2.35,1.616666667,3.690651272
Ag1In1S2,33,3.18,46.5,Ag1 In1 S2,4.703134751,25.31659894,0.406189989,717.87,1553.935,2435,10.27,14.2725,15.76,5.78636,8.5206525,10.36001,2.736322714,0.574232375,16,49,32,65,88,79,388.36,1234.93,610.35,11,16,14,3,5,4,105,145,124.25,1.78,2.58,2.2175,1,2,1.75,0,4,2.25,0,10,5,0,0,0,16.33,25.786875,23.0409375,2,3,2.25,32.065,114.818,71.70405,1,1.6,1.2875,3.603386766
Ag1In1Se2,122,3.57,41.5,Ag1 In1 Se2,5.443594904,29.02546365,0.391872021,958,1674,2435,10.27,14.7175,16.42,5.78636,8.2168425,9.75239,2.864476651,0.575145927,34,49,41,65,89,79.5,429.75,1234.93,663.17,11,16,14,4,5,4.5,120,145,131.75,1.78,2.55,2.2025,1,2,1.75,0,4,2.25,10,10,10,0,0,0,16.33,25.92,23.1075,2,3,2.25,78.96,114.818,95.15155,1.15,1.6,1.3625,3.00558683
Ag1In1Te2,122,2.59,33.6,Ag1 In1 Te2,5.64944019,35.11625391,0.396852527,1261,1825.5,2435,10.27,16.7375,20.46,5.78636,7.8454475,9.0096,3.049959941,0.575258083,47,52,50,65,90,80,429.75,1234.93,777.5,11,16,14,5,5,5,138,145,140.75,1.78,2.1,1.9775,1,2,1.75,0,4,2.25,10,10,10,0,0,0,16.33,34.76333333,27.52916667,2,3,2.25,107.8682,127.6,119.47155,1.4,1.6,1.4875,2.752214275
Ag1In3K2Se6,15,1.15,21.7,Ag1 In3 K2 Se6,4.361187134,31.86525691,0.500495761,958,1440.166667,2435,10.27,20.6625,45.94,4.3406633,7.677581383,9.75239,3.120500928,0.619491769,19,49,36.33333333,3,89,69.16666667,336.53,1234.93,513.4366667,1,16,12.33333333,4,5,4.333333333,120,203,141.4166667,0.82,2.55,2.0175,1,2,1.75,0,4,2.25,0,10,8.333333333,0,0,0,16.33,73.10666667,32.57027778,1,3,1.916666667,39.0983,114.818,83.6899,1.15,2.2,1.4625,3.069365136
Ag1In5Te8,111,1.41,20,Ag1 In5 Te8,5.365993601,37.63777067,0.355080737,1261,1732,2435,10.27,18.05357143,20.46,5.78636,7.756059286,9.0096,3.238574644,0.592529676,47,52,50.57142857,65,90,82.85714286,429.75,1234.93,654.64,11,16,14.57142857,5,5,5,138,145,139.9285714,1.78,2.1,1.973571429,1,2,1.928571429,0,4,2.642857143,10,10,10,0,0,0,16.33,34.76333333,29.69547619,2,3,2.071428571,107.8682,127.6,121.6255857,1.4,1.6,1.467857143,2.761120526
Ag1K1Se1,129,1.04,26.6,Ag1 K1 Se1,4.626412454,27.03028774,0.840170475,958,1475,2435,10.27,24.21,45.94,4.3406633,7.223094433,9.75239,3.265767979,0.957641286,19,47,33.33333333,3,89,52.33333333,336.53,1234.93,688.4866667,1,16,9.333333333,4,5,4.333333333,120,203,156,0.82,2.55,1.766666667,1,2,1.333333333,0,4,1.333333333,0,10,6.666666667,0,0,0,16.33,73.10666667,38.45222222,1,3,2,39.0983,107.8682,75.30883333,1.15,2.2,1.65,2.699519622
Ag1K2Nb1S4,70,1.13,13.9,Ag1 K2 Nb1 S4,2.902854852,29.11888977,0.583328268,717.87,1548.435,5017,10.27,21.8875,45.94,4.3406633,8.057055825,10.36001,3.150692219,0.722262347,16,47,23.75,3,88,58.75,336.53,2750,776.42875,1,16,10.25,3,5,3.75,105,203,141.875,0.82,2.58,1.93625,1,2,1.5,0,4,2,0,10,1.75,0,0,0,16.33,73.10666667,35.48385417,1,3,2,32.065,107.8682,50.9038975,1,2.2,1.43125,4.354215348
Ag1K2S4V1,70,1.19,14.9,Ag1 K2 S4 V1,2.765285601,27.41755502,0.608291459,717.87,1381.31,3680,8.32,21.57375,45.94,4.3406633,8.055473325,10.36001,3.071479881,0.719109397,16,47,21.5,3,88,58.625,336.53,2183,705.55375,1,16,10.25,3,5,3.625,105,203,140.5,0.82,2.58,1.94,1,2,1.625,0,4,2,0,10,1.625,0,0,0,13.01,73.10666667,34.83760417,1,3,2,32.065,107.8682,45.6582875,1,2.2,1.41875,4.109395105
Ag1K2Se4V1,70,0.95,13.8,Ag1 K2 Se4 V1,3.789589443,30.28107968,0.586794883,958,1501.375,3680,8.32,22.01875,45.94,4.3406633,7.751663325,9.75239,3.197997934,0.729114501,19,47,30.5,3,89,59.125,336.53,2183,758.37375,1,16,10.25,4,5,4.125,120,203,148,0.82,2.55,1.925,1,2,1.625,0,4,2,0,10,6.625,0,0,0,13.01,73.10666667,34.90416667,1,3,2,39.0983,107.8682,69.1057875,1.15,2.2,1.49375,3.428616731
Ag1La3S7Si1,173,2.39,53.5,Ag1 La3 S7 Si1,4.636835821,23.19193976,0.521848555,717.87,1821.840833,3743,10.27,16.5175,22.39,5.5769,8.748223333,10.36001,2.998315616,0.783511231,14,57,28.66666667,13,88,66.5,388.36,1687,768.2875,3,16,12.16666667,3,6,3.916666667,105,207,134.3333333,1.1,2.58,2.099166667,1,2,1.916666667,0,4,2.5,0,10,1.083333333,0,0,0,16.33,36.8975,27.33088542,2,3,2.333333333,28.0855,138.90547,64.76042583,1,1.95,1.295833333,5.54244062
Ag1La3S7Sn1,173,2.27,48.5,Ag1 La3 S7 Sn1,4.993420305,24.04718008,0.52822179,717.87,1797.0075,3743,10.27,16.87,22.39,5.5769,8.68091,10.36001,3.072026849,0.756729656,16,57,31.66666667,13,88,66.66666667,388.36,1234.93,669.7941667,3,16,12.16666667,3,6,4.083333333,105,207,136.6666667,1.1,2.58,2.104166667,1,2,1.916666667,0,4,2.5,0,10,1.916666667,0,0,0,16.33,36.8975,28.40130208,2,3,2.333333333,32.065,138.90547,72.3124675,1,1.95,1.325,5.319520533
Ag1La3Se7Si1,173,1.75,46.2,Ag1 La3 Se7 Si1,5.807152775,26.34026709,0.50779356,958,1961.916667,3743,10.27,17.03666667,22.39,5.5769,8.393778333,9.75239,3.140677669,0.769986893,14,57,39.16666667,13,89,67.08333333,494,1687,829.9108333,3,16,12.16666667,3,6,4.5,111,207,143.0833333,1.1,2.55,2.081666667,1,2,1.916666667,0,4,2.5,0,10,6.916666667,0,0,0,16.33,36.8975,27.40854167,2,3,2.333333333,28.0855,138.90547,92.1158425,1.1,1.95,1.383333333,4.691744706
Ag1La3Se7Sn1,173,1.77,43.5,Ag1 La3 Se7 Sn1,6.071675525,27.25811264,0.51269075,958,1937.083333,3743,10.27,17.38916667,22.39,5.5769,8.326465,9.75239,3.213644855,0.762633429,34,57,42.16666667,13,89,67.25,494,1234.93,731.4175,3,16,12.16666667,4,6,4.666666667,120,207,145.4166667,1.1,2.55,2.086666667,1,2,1.916666667,0,4,2.5,1,10,7.75,0,0,0,16.33,36.8975,28.47895833,2,3,2.333333333,78.96,138.90547,99.66788417,1.15,1.95,1.4125,4.528630786
Ag1Mo3Se3,176,1.14,34.5,Ag1 Mo3 Se3,7.546793353,19.8836429,0.535826757,958,2863.571429,4912,9.38,12.52428571,16.42,7.09243,8.301527143,9.75239,2.955334825,0.861434556,34,47,39.28571429,50,89,68.85714286,494,2896,1629.275714,6,16,11,4,5,4.571428571,120,154,138.1428571,1.93,2.55,2.294285714,1,2,1.428571429,0,4,1.714285714,5,10,7.857142857,0,0,0,15.69,25.92,20.16571429,2,3,2.571428571,78.96,107.8682,90.36688571,1.15,1.6,1.342857143,4.516914575
Ag1Na3S2,72,2.23,27.8,Ag1 Na3 S2,2.800308436,23.81499334,0.691594696,717.87,1223.123333,2435,10.27,18.77833333,23.78,5.139076,7.285579667,10.36001,2.994490681,0.800195502,11,47,18.66666667,2,88,41.16666667,370.87,1234.93,520.71,1,16,7.666666667,3,5,3.333333333,105,166,142.1666667,0.93,2.58,1.646666667,1,2,1.333333333,0,4,1.333333333,0,10,1.666666667,0,0,0,16.33,29.24333333,25.93895833,1,3,1.666666667,22.98976928,107.8682,40.16125131,1,1.8,1.5,3.131509796
Ag1Nb1Rb2S4,70,0.95,12.7,Ag1 Nb1 Rb2 S4,3.299981352,31.44790559,0.6177108,717.87,1530.685,5017,10.27,24.3425,55.76,4.177128,8.016172,10.36001,3.204185249,0.712882798,16,47,28.25,4,88,59,312.46,2750,770.41125,1,16,10.25,3,5,4,105,220,146.125,0.82,2.58,1.93625,1,2,1.5,0,4,2,0,10,1.75,0,0,0,16.33,90.7225,39.8878125,1,3,2,32.065,107.8682,62.4962725,1,2.35,1.46875,4.349795953
Ag1Nb1Rb2Se4,70,0.75,11.8,Ag1 Nb1 Rb2 Se4,4.141827493,34.45652722,0.595435194,958,1650.75,5017,10.27,24.7875,55.76,4.177128,7.712362,9.75239,3.323945097,0.719556742,34,47,37.25,4,89,59.5,312.46,2750,823.23125,1,16,10.25,4,5,4.5,120,220,153.625,0.82,2.55,1.92125,1,2,1.5,0,4,2,0,10,6.75,0,0,0,16.33,90.7225,39.954375,1,3,2,78.96,107.8682,85.9437725,1.15,2.35,1.54375,3.675881656
Ag1Rb1Se4,19,0.66,9,Ag1 Rb1 Se4,4.492912443,31.36446015,0.515452761,958,1204.666667,2435,10.27,21.95166667,55.76,4.177128,8.460486333,9.75239,3.236080656,0.686564391,34,47,36.66666667,4,89,70.83333333,312.46,1234.93,587.2316667,1,16,12.66666667,4,5,4.333333333,120,220,140.8333333,0.82,2.55,2.158333333,1,2,1.666666667,0,4,2.666666667,0,10,8.333333333,0,0,0,16.33,90.7225,35.12208333,1,3,2,78.96,107.8682,84.86266667,1.15,2.35,1.425,2.748737642
Ag1Rb2S4V1,70,0.99,13.7,Ag1 Rb2 S4 V1,3.189092122,29.81003936,0.641317635,717.87,1363.56,3680,8.32,24.02875,55.76,4.177128,8.0145895,10.36001,3.1256039,0.708101532,16,47,26,4,88,58.875,312.46,2183,699.53625,1,16,10.25,3,5,3.875,105,220,144.75,0.82,2.58,1.94,1,2,1.625,0,4,2,0,10,1.625,0,0,0,13.01,90.7225,39.2415625,1,3,2,32.065,107.8682,57.2506625,1,2.35,1.45625,4.099007073
Ag1Rb2Se4V1,70,0.82,12.3,Ag1 Rb2 Se4 V1,4.081238611,32.83377038,0.615482832,958,1483.625,3680,8.32,24.47375,55.76,4.177128,7.7107795,9.75239,3.253698574,0.71823716,23,47,35,4,89,59.375,312.46,2183,752.35625,1,16,10.25,4,5,4.375,120,220,152.25,0.82,2.55,1.925,1,2,1.625,0,4,2,0,10,6.625,0,0,0,13.01,90.7225,39.308125,1,3,2,50.9415,107.8682,80.6981625,1.15,2.35,1.53125,3.419303857
Ag1Rb3Se8Sn3,125,0.8,12.7,Ag1 Rb3 Se8 Sn3,4.403606218,33.99008611,0.528619302,958,1440.466667,2875,10.27,23.852,55.76,4.177128,8.010566267,9.75239,3.346307059,0.773677747,34,50,38.66666667,4,89,68.6,312.46,1234.93,509.3033333,1,16,12.26666667,4,5,4.466666667,120,220,145.4666667,0.82,2.55,2.044666667,1,2,1.733333333,0,4,2.533333333,0,10,8,0,0,0,16.33,90.7225,39.71416667,1,3,1.866666667,78.96,118.71,90.13877333,1.15,2.35,1.48,3.080719644
Ag1Sc1Se2,164,3.26,57,Ag1 Sc1 Se2,5.82398897,22.14988474,0.531106849,958,1863.5,3103,10.27,14.5275,16.42,6.56149,8.410625,9.75239,2.909211107,0.842318103,21,47,34,11,89,63.5,494,1814,1009.2325,3,16,11.5,4,5,4.25,120,170,138.75,1.36,2.55,2.0975,1,2,1.75,0,4,2,1,10,7.75,0,0,0,16.33,25.92,22.60125,2,3,2.5,44.955912,107.8682,77.686028,1.15,1.6,1.375,4.165868018
Ag1Se2Y1,19,2.04,48.2,Ag1 Se2 Y1,5.781487895,25.46850125,0.533281888,958,1990,3609,10.27,15.7475,19.88,6.2173,8.3245775,9.75239,3.057283201,0.753160084,34,47,38.5,12,89,63.75,494,1799,1005.4825,3,16,11.5,4,5,4.5,120,190,143.75,1.22,2.55,2.0625,1,2,1.75,0,4,2,1,10,7.75,0,0,0,16.33,32.365,25.13375,2,3,2.5,78.96,107.8682,88.6735125,1.15,1.8,1.425,4.272893284
Ag1Te1,62,1,26.4,Ag1 Te1,7.25271351,26.9557142,0.531451788,1261,1848,2435,10.27,15.365,20.46,7.57623,8.292915,9.0096,3.177725129,0.768225865,47,52,49.5,65,90,77.5,722.66,1234.93,978.795,11,16,13.5,5,5,5,138,145,141.5,1.93,2.1,2.015,1,2,1.5,0,4,2,10,10,10,0,0,0,16.33,34.76333333,25.54666667,2,3,2.5,107.8682,127.6,117.7341,1.4,1.6,1.5,2.535877554
Ag1Te2Y1,113,1.9,39.1,Ag1 Te2 Y1,6.227447048,30.12954431,0.535806227,1261,2141.5,3609,10.27,17.7675,20.46,6.2173,7.9531825,9.0096,3.279150852,0.766395612,39,52,47.5,12,90,64.25,722.66,1799,1119.8125,3,16,11.5,5,5,5,138,190,152.75,1.22,2.1,1.8375,1,2,1.75,0,4,2,1,10,7.75,0,0,0,16.33,34.76333333,29.55541667,2,3,2.5,88.90585,127.6,112.9935125,1.4,1.8,1.55,3.867801575
Ag2Ba1Ge1S4,121,2.41,41.2,Ag2 Ba1 Ge1 S4,4.706044123,24.43341592,0.516100211,717.87,1622.185,3093,10.27,16.80625,38.16,5.211664,8.71294925,10.36001,2.935032454,0.654537403,16,56,30.75,9,88,71.25,388.36,1234.93,779.3375,2,16,12.75,3,6,4,105,215,130.625,0.89,2.58,2.135,1,2,1.75,0,4,2.25,0,10,3.75,0,0,0,16.33,63.59,27.8003125,1,3,2.125,32.065,137.327,69.245425,1,2.15,1.325,4.051058888
Ag2Ba1S2,164,2.52,46.8,Ag2 Ba1 S2,5.610697894,24.6944659,0.682921574,717.87,1689.748,2435,10.27,17.952,38.16,5.211664,8.2168288,10.36001,3.002790024,0.851901538,16,56,36.4,9,88,63,388.36,1234.93,849.316,2,16,11.2,3,6,4.4,105,215,143,0.89,2.58,1.982,1,2,1.6,0,4,1.6,0,10,4,0,0,0,16.33,63.59,29.56475,1,3,2.2,32.065,137.327,83.43868,1,2.15,1.47,3.805151448
Ag2Ba1S4Sn1,23,2.31,35.3,Ag2 Ba1 S4 Sn1,4.789230441,26.00571517,0.506953702,717.87,1594.935,2875,10.27,17.13875,38.16,5.211664,8.6435105,10.36001,3.020319398,0.684604535,16,56,33,9,88,71.375,388.36,1234.93,691.0475,2,16,12.75,3,6,4.125,105,215,133,0.89,2.58,2.12875,1,2,1.75,0,4,2.25,0,10,3.75,0,0,0,16.33,63.59,29.0853125,1,3,2.125,32.065,137.327,75.004175,1,2.15,1.35,3.971997628
Ag2Ba1Se4Sn1,23,1.56,27.5,Ag2 Ba1 Se4 Sn1,5.555595827,29.42670014,0.485090464,958,1715,2875,10.27,17.58375,38.16,5.211664,8.3397005,9.75239,3.161399976,0.696439024,34,56,42,9,89,71.875,494,1234.93,743.8675,2,16,12.75,4,6,4.625,120,215,140.5,0.89,2.55,2.11375,1,2,1.75,0,4,2.25,0,10,8.75,0,0,0,16.33,63.59,29.151875,1,3,2.125,78.96,137.327,98.451675,1.15,2.15,1.425,3.352732751
Ag2Ba1Te2,62,1.16,35.3,Ag2 Ba1 Te2,6.512595588,31.01820541,0.637899044,1261,1907,2435,10.27,19.924,38.16,5.211664,7.6766648,9.0096,3.283359729,0.789239427,47,56,50.8,9,90,63.8,722.66,1234.93,983.036,2,16,11.2,5,6,5.2,138,215,156.2,0.89,2.1,1.79,1,2,1.6,0,4,1.6,0,10,8,0,0,0,16.33,63.59,33.15533333,1,3,2.2,107.8682,137.327,121.65268,1.4,2.15,1.63,3.157071466
Ag2Cd1Ge1S4,33,2.59,45.9,Ag2 Cd1 Ge1 S4,4.61787603,23.77997671,0.393448094,717.87,1484.31,3093,10.27,13.66125,15.53,7.57623,9.18571875,10.36001,2.694112403,0.597976779,16,48,29.75,65,88,78.875,388.36,1234.93,728.615,11,16,14,3,5,3.875,105,145,121.75,1.69,2.58,2.235,1,2,1.75,0,4,2.25,0,10,5,0,0,0,16.33,25.786875,22.2884375,2,3,2.375,32.065,112.411,66.130925,1,1.6,1.25,3.483217582
Ag2Fe1S4Sn1,121,5.38,49.4,Ag2 Fe1 S4 Sn1,4.619325075,23.30088389,0.404136069,717.87,1718.81,3134,7.09,13.255,16.29,7.34392,8.9798525,10.36001,2.66455879,0.589907213,16,50,29.25,55,88,77.125,388.36,1811,792.4225,8,16,13.5,3,5,3.875,105,145,122.625,1.83,2.58,2.24625,1,2,1.75,0,4,2.25,0,10,4.5,0,0,0,10.73,33.285,22.4778125,2,3,2.375,32.065,118.71,64.818925,1,1.6,1.25625,3.853782226
