formula,sg,kL,bulkmod,composition,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData mean Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData mean NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,PymatgenData minimum block,PymatgenData maximum block,PymatgenData mean block,PymatgenData minimum atomic_mass,PymatgenData maximum atomic_mass,PymatgenData mean atomic_mass,PymatgenData minimum atomic_radius,PymatgenData maximum atomic_radius,PymatgenData mean atomic_radius,cohesive energy (MP)
Bi3Cs1S5,62,1,21.8,Bi3 Cs1 S5,5.627651415,30.16812014,0.537867203,717.87,1116.038889,1837,15.53,23.61333333,70.94,3.893905,8.616717222,10.36001,3.188441529,0.784295701,16,83,42.66666667,5,88,78.11111111,301.59,544.4,430.7322222,1,16,14,3,6,4.333333333,105,244,134.7777778,0.79,2.58,2.194444444,1,2,1.888888889,0,4,3.222222222,0,10,3.333333333,0,14,4.666666667,25.786875,115.765,38.17215278,1,2,1.888888889,32.065,208.9804,102.2412947,1,2.6,1.377777778,3.673824156
Bi3In5S12,12,1.59,35.8,Bi3 In5 S12,5.502412863,23.92860655,0.375554656,717.87,1292.522,2345,15.53,16.4545,21.31,5.78636,8.755421,10.36001,2.981807789,0.810718217,16,83,34.3,75,88,84.45,388.36,544.4,422.1135,13,16,15.1,3,6,3.95,105,148,120.7,1.78,2.58,2.296,2,2,2,1,4,3.1,0,10,4,0,14,2.1,24.26,32.95,26.479625,2,2,2,32.065,208.9804,79.29056,1,1.6,1.2275,3.709717144
Bi3K1S5,62,0.92,16,Bi3 K1 S5,4.496294538,33.90966406,0.383430658,717.87,1125.816667,1837,15.53,20.83555556,45.94,4.3406633,8.666357033,10.36001,3.146451434,0.730237326,16,83,38.66666667,3,88,77.88888889,336.53,544.4,434.6144444,1,16,14,3,6,4.111111111,105,203,130.2222222,0.82,2.58,2.197777778,1,2,1.888888889,0,4,3.222222222,0,10,3.333333333,0,14,4.666666667,25.786875,73.10666667,33.43233796,1,2,1.888888889,32.065,208.9804,91.81827778,1,2.2,1.333333333,3.668859508
BN,186,403.12,371.5,B1 N1,1.956240949,10.53315043,0.176717655,77.36,2138.68,4200,4.39,8.965,13.54,8.29802,11.41606,14.5341,1.685028049,1.308997753,5,7,6,72,82,77,63.05,2348,1205.525,13,15,14,2,2,2,71,84,77.5,2.04,3.04,2.54,2,2,2,1,3,2,0,0,0,0,0,0,7.1725,14.76875,10.970625,2,2,2,10.811,14.0067,12.40885,0.65,0.85,0.75,7.098660178
BP,216,274.91,170.6,B1 P1,2.952601818,11.74984538,0.287715743,550,2375,4200,4.39,10.705,17.02,8.29802,9.392355,10.48669,2.116606291,0.615479709,5,15,10,72,83,77.5,317.3,2348,1332.65,13,15,14,2,3,2.5,84,107,95.5,2.04,2.19,2.115,2,2,2,1,3,2,0,0,0,0,0,0,7.1725,22.5702381,14.87136905,2,2,2,10.811,30.973762,20.892381,0.85,1,0.925,5.37556907
BSb,216,71.49,118.4,B1 Sb1,5.974007196,18.42476226,0.416355205,1860,3030,4200,4.39,11.29,18.19,8.29802,8.453205,8.60839,2.459027183,0.615479709,5,51,28,72,85,78.5,903.78,2348,1625.89,13,15,14,2,5,3.5,84,139,111.5,2.04,2.05,2.045,2,2,2,1,3,2,0,10,5,0,0,0,7.1725,31.56,19.36625,2,2,2,10.811,121.76,66.2855,0.85,1.45,1.15,4.19462015
C,227,1079.91,433.4,C1,1.274371018,15.65025905,0.091803914,4300,4300,4300,5.29,5.29,5.29,11.2603,11.2603,11.2603,1.642065746,0.474731316,6,6,6,77,77,77,3823,3823,3823,14,14,14,2,2,2,76,76,76,2.55,2.55,2.55,2,2,2,2,2,2,0,0,0,0,0,0,5.64,5.64,5.64,2,2,2,12.0107,12.0107,12.0107,0.7,0.7,0.7,7.96679823
Ca1Cd2P2,164,3.82,56.6,Ca1 Cd2 P2,4.745561921,22.87371196,0.559626415,550,987.4,1757,13,17.248,26.2,6.11316,9.014836,10.48669,2.950926073,0.796554945,15,48,29.2,7,83,62.6,317.3,1115,587.608,2,15,11.2,3,5,4,107,176,135.6,1,2.19,1.752,2,2,2,0,3,1.2,0,10,4,0,0,0,19.495,37.77,24.38009524,1,3,2.2,30.973762,112.411,65.3695048,1,1.8,1.38,2.65826775
Ca1Cd2Sb2,164,1.97,37.8,Ca1 Cd2 Sb2,5.69826166,29.63188855,0.547830002,1040,1511.4,1860,13,17.716,26.2,6.11316,8.263516,8.99382,3.223449934,0.797748313,20,51,43.6,7,85,63.4,594.22,1115,822.2,2,15,11.2,4,5,4.8,139,176,148.4,1,2.05,1.696,2,2,2,0,3,1.2,0,10,8,0,0,0,19.495,37.77,27.976,1,3,2.2,40.078,121.76,101.684,1.45,1.8,1.56,2.228147766
Ca1Ga1La1O4,33,5.99,102.4,Ca1 Ga1 La1 O4,4.693358214,15.8052325,0.617429043,90.2,1191.114286,3743,11.8,18.54714286,26.2,5.5769,10.30879443,13.61805,2.435926596,0.670333586,8,57,20,7,87,63.14285714,54.8,1193,404.3014286,2,16,11.71428571,2,6,3.142857143,66,207,109.8571429,1,3.44,2.524285714,2,2,2,0,4,2.428571429,0,10,1.571428571,0,0,0,9.105,37.77,18.56357143,1,3,2,15.9994,138.90547,44.67201,0.6,1.95,1.064285714,6.4514952
